,movie,production_budget,domestic_gross,worldwide_gross,studio,original_language,popularity,release_date,vote_average,vote_count
381,Your Highness,50.0,21.596445,26.121638,Uni.,en,12.254000000000001,2011-04-08,5.3,735
382,Snowden,50.0,21.587519,35.380918,ORF,en,13.703,2016-09-16,7.1,2427
383,Dream House,50.0,21.30234,41.642166,Uni.,en,9.047,2011-09-30,6.0,670
384,Free State of Jones,50.0,20.810036,23.237252,STX,en,8.574,2016-06-24,6.6,787
385,Drive Angry,50.0,10.721033,41.042583,Sum.,en,14.095999999999998,2011-02-24,5.3,959
386,Early Man,50.0,8.267544,45.28589,LGF,en,16.675,2018-02-16,5.9,338
387,Child 44,50.0,1.22433,8.004221,LG/S,en,26.386,2015-04-17,6.2,903
388,Upside Down,50.0,0.102118,26.387039,MNE,en,12.454,2013-03-14,6.2,1645
389,Shanghai,50.0,0.046425,15.505922,Wein.,en,6.824,2010-10-02,6.1,80
390,Chappie,49.0,31.569268,105.002056,Sony,en,24.52,2015-03-06,6.7,4995
391,Anna Karenina,49.0,12.816367,71.004627,Focus,en,9.987,2012-11-16,6.7,1265
392,Taken 3,48.0,89.256424,327.656424,Fox,en,27.679000000000002,2015-01-09,6.1,3406
393,Instant Family,48.0,67.363237,119.736188,Par.,en,22.634,2018-11-16,7.6,782
394,Tooth Fairy,48.0,60.022256,112.610386,Fox,en,12.65,2010-01-22,5.3,1058
395,The Infiltrator,47.5,15.436808,20.718104,BG,en,9.588,2016-07-13,6.6,943
396,Arrival,47.0,100.546139,203.127894,Par.,en,25.441999999999997,2016-11-11,7.4,10387
397,Jonah Hex,47.0,10.547117,11.022696,WB,en,13.467,2010-06-18,4.6,708
398,Mr. Nobody,46.5,0.003622,0.022254,Magn.,en,17.242,2011-12-20,7.9,3279
399,Prisoners,46.0,61.002302,113.402302,WB,en,14.357999999999999,2013-09-21,8.0,5785
400,Taken 2,45.0,139.854287,377.807404,Fox,en,16.078,2012-10-04,6.2,4035
401,Pitch Perfect 3,45.0,104.89753,185.736412,Uni.,en,14.89,2017-12-22,6.5,1884
402,The Muppets,45.0,88.625922,160.971922,BV,en,11.324000000000002,2011-11-23,6.6,831
403,The Girl on the Train,45.0,75.395035,174.278214,Strand,en,1.595,2014-07-03,5.9,25
404,The Girl on the Train,45.0,75.395035,174.278214,Strand,en,11.927,2016-10-07,6.3,3479
405,The Bounty Hunter,45.0,67.061228,135.808837,Sony,en,9.861,2010-03-19,5.7,1627
406,Office Christmas Party,45.0,54.767494,91.323299,Par.,en,10.729000000000001,2016-12-09,5.6,1191
407,Blended,45.0,46.290741,127.990741,WB,en,10.613,2014-05-23,6.7,1709
408,All Eyez on Me,45.0,44.922302,54.876855,LG/S,en,7.249,2017-06-16,6.4,695
409,The Ghost Writer,45.0,15.541549,65.532491,Sum.,en,7.829,2010-02-12,6.8,1135
410,Dredd,45.0,13.414714,41.467606,LGF,en,13.222999999999999,2012-09-21,6.7,2788
411,The Rum Diary,45.0,13.109815,21.544732,FD,en,12.011,2011-10-27,5.7,652
412,Welcome to Marwen,45.0,10.76352,12.874922,Uni.,en,22.031999999999996,2018-12-21,6.6,286
413,Johnny English Reborn,45.0,8.406711,164.640401,Uni.,en,15.542,2011-10-21,6.1,1810
414,Argo,44.5,136.025503,227.140757,WB,en,15.793,2012-10-12,7.2,5127
415,Charlie St. Cloud,44.0,31.206263,48.478084,Uni.,en,9.454,2010-05-01,6.9,1398
416,The Heat,43.0,159.581587,229.727774,Fox,en,16.912,2013-06-28,6.6,2441
417,A Monster Calls,43.0,3.740823,46.41453,Focus,en,11.128,2016-12-23,7.1,1918
418,The Mechanic,42.5,29.121498,76.347393,CBS,en,14.387,2011-01-28,6.3,1676
419,21 Jump Street,42.0,138.447667,202.812429,Sony,en,14.835999999999999,2012-03-12,6.8,6527
420,Snatched,42.0,45.852178,57.852177,Fox,en,0.725,2011-01-01,3.5,2
421,Snatched,42.0,45.852178,57.852177,Fox,en,10.92,2017-05-12,5.3,495
422,Here Comes the Boom,42.0,45.290318,73.239258,Sony,en,10.265,2012-10-12,6.0,812
423,Red Riding Hood,42.0,37.662162,91.678442,WB,en,11.856,2011-03-11,5.9,1884
424,Man on a Ledge,42.0,18.62,49.62144,LG/S,en,11.263,2012-01-27,6.3,1460
425,The Warrior's Way,42.0,5.66634,8.514325,Rela.,en,8.259,2010-12-03,6.1,203
426,The Big Year,41.0,7.204138,7.684524,Fox,en,7.077000000000001,2011-10-14,5.8,393
427,The Karate Kid,40.0,176.591618,351.774938,Sony,en,12.255999999999998,2010-06-10,6.3,3140
429,Fifty Shades of Grey,40.0,166.16723,570.998101,Uni.,en,21.229,2015-02-13,5.4,6451
430,American Hustle,40.0,150.117807,257.878294,Sony,en,12.481,2013-12-12,6.8,4443
431,Lucy,40.0,126.57396,457.507776,Uni.,en,16.73,2014-07-25,6.3,10019
432,Lone Survivor,40.0,125.095601,149.804632,Uni.,en,15.404000000000002,2013-12-24,7.4,2289
433,The Social Network,40.0,96.962694,224.922135,Sony,en,15.889000000000001,2010-10-01,7.2,6116
434,Ride Along 2,40.0,90.862685,124.827316,Uni.,en,12.977,2016-01-15,6.2,939
435,Get Hard,40.0,90.411453,106.511453,WB,en,12.129000000000001,2015-03-27,6.0,1469
436,The Accountant,40.0,86.260045,152.962083,WB,en,13.81,2016-10-14,6.9,3407
437,Dumb and Dumber To,40.0,86.20801,156.553592,Uni.,en,15.964,2014-11-14,5.5,1842
438,The Other Woman,40.0,83.911193,195.111193,IFC,en,9.15,2011-02-04,6.2,220
439,The Other Woman,40.0,83.911193,195.111193,IFC,en,11.894,2014-04-25,6.3,2276
440,The Intern,40.0,75.764672,197.11571,WB,en,14.377,2015-09-25,7.1,3373
441,Bridge of Spies,40.0,72.313754,162.498338,BV,en,12.835999999999999,2015-10-16,7.2,4313
442,Hacksaw Ridge,40.0,67.209615,168.904682,LGF,en,24.074,2016-11-04,8.1,6608
443,Unknown,40.0,63.686397,136.123083,WB,en,12.08,2011-02-18,6.6,2043
445,Get Him to the Greek,40.0,61.153526,91.455875,Uni.,en,8.485,2010-06-04,5.9,980
446,The Lincoln Lawyer,40.0,58.0092,87.145086,LGF,en,11.812000000000001,2011-03-18,7.1,1525
447,Horrible Bosses 2,40.0,54.445357,105.945357,WB,en,18.421,2014-11-26,6.2,2581
448,Predators,40.0,52.000688,127.234389,Fox,en,16.215999999999998,2010-07-03,6.1,1979
449,The Odd Life of Timothy Green,40.0,51.85345,55.249159,BV,en,9.216000000000001,2012-08-15,6.7,605
450,Jersey Boys,40.0,47.047013,65.282732,WB,en,6.933,2014-06-20,6.9,380
451,Final Destination 5,40.0,42.587643,155.011165,WB (NL),en,13.392000000000001,2011-08-12,6.0,1701
452,Widows,40.0,42.402632,73.866088,Fox,en,20.628,2018-11-16,6.5,941
453,Sex Tape,40.0,38.543473,126.069509,Sony,en,20.429000000000002,2014-07-18,5.3,2684
454,Scream 4,40.0,38.180928,95.98959,W/Dim.,en,16.082,2011-04-11,6.2,1610
455,Paul,40.0,37.412945,101.162106,Uni.,en,15.234000000000002,2011-03-17,6.5,3017
456,The Guilt Trip,40.0,37.134215,41.294674,Par.,en,8.939,2012-12-19,5.4,403
457,Colombiana,40.0,36.665854,72.295262,TriS,en,10.584000000000001,2011-08-26,6.5,1371
458,The Commuter,40.0,36.343858,101.985431,LGF,en,20.063,2018-01-12,6.2,2394
459,Patriots Day,40.0,31.886361,52.837989,LGF,en,15.435,2016-12-21,6.9,1337
460,Morning Glory,40.0,31.011732,59.79507,Par.,en,10.595,2010-11-10,6.3,717
461,Grudge Match,40.0,29.80726,69.80726,WB,en,7.917999999999999,2013-12-25,6.0,711
462,The Nut Job 2: Nutty by Nature,40.0,28.370522,57.438389,ORF,en,8.975,2017-08-11,5.7,227
463,Resident Evil: The Final Chapter,40.0,26.844692,314.10119,SGem,en,0.8440000000000001,2017-01-27,5.9,1859
464,The House,40.0,25.584504,31.192425,WB (NL),en,9.62,2017-06-30,5.7,474
465,Season of the Witch,40.0,24.827228,91.1266,Rela.,en,12.535,2011-01-07,5.3,1352
466,Mechanic: Resurrection,40.0,21.218403,109.73884,LG/S,en,16.302,2016-08-26,5.6,1929
467,Big Miracle,40.0,20.1573,25.26868,Uni.,en,6.76,2012-02-03,6.6,250
468,A Thousand Words,40.0,18.450127,20.790486,P/DW,en,8.017000000000001,2012-03-08,6.1,685
469,The Gunman,40.0,10.664749,18.594227,ORF,en,10.388,2015-03-20,5.7,583
470,Paranoia,40.0,7.388654,16.340767,Rela.,en,0.6,2011-06-07,4.5,2
471,Paranoia,40.0,7.388654,16.340767,Rela.,en,7.6739999999999995,2013-08-16,5.7,518
472,Paranoia,40.0,7.388654,16.340767,Rela.,en,0.6,2016-05-24,10.0,1
473,The Hurricane Heist,40.0,6.115824,30.963684,ENTMP,en,13.335,2018-03-09,5.4,476
474,Victor Frankenstein,40.0,5.775076,31.124367,Fox,en,9.061,2015-11-10,5.8,1200
475,Snowpiercer,40.0,4.563029,88.06988,RTWC,ko,14.735,2014-06-27,6.8,4748
476,Frankenweenie,39.0,35.287788,81.150788,BV,en,14.627,2012-10-05,6.8,1685
477,Captain Underpants: The First Epic Movie,38.0,73.921,126.577874,Fox,en,18.31,2017-06-02,6.0,587
478,Paul Blart: Mall Cop 2,38.0,71.091594,107.650646,Sony,en,15.940999999999999,2015-04-17,5.0,900
479,Why Him?,38.0,60.323786,117.425156,Fox,en,15.044,2016-12-23,6.2,2494
480,Water for Elephants,38.0,58.709717,116.809717,Fox,en,6.209,2011-04-22,6.9,1627
481,Riddick,38.0,42.025135,94.763758,Uni.,en,17.434,2013-09-06,6.2,2852
482,The 5th Wave,38.0,34.912982,111.336398,Sony,en,12.967,2016-01-15,5.8,3657
483,The Sisters Brothers,38.0,3.143056,13.143056,Annapurna,en,13.738,2018-09-21,7.0,590
484,What to Expect When You're Expecting,37.5,41.152203,88.473016,LGF,en,12.27,2012-05-18,5.9,1130
485,The Master,37.5,16.247159,50.647416,Wein.,en,12.829,2012-09-14,7.1,1323
486,We're the Millers,37.0,150.394119,267.816276,WB (NL),en,14.745999999999999,2013-08-07,6.8,5231
487,Creed,37.0,109.767581,173.567581,WB (NL),en,16.355999999999998,2015-11-25,7.3,4010
488,The Town,37.0,92.186262,152.566881,WB,en,13.475999999999999,2010-09-17,7.1,2386
489,Dolphin Tale,37.0,72.286779,96.068724,WB,en,10.679,2011-09-23,6.8,327
490,Game Night,37.0,69.179066,117.378084,WB (NL),en,19.459,2018-02-23,6.9,2756
491,Cop Out,37.0,44.875481,55.90991,WB,en,8.82,2010-02-26,5.4,796
492,The Rite,37.0,33.047633,97.143987,WB (NL),en,9.676,2011-01-28,5.9,994
493,Aloha,37.0,21.05203,25.387091,Sony,en,9.685,2015-05-29,5.3,1226
494,Hot Tub Time Machine,36.0,50.269859,65.96775,MGM,en,10.15,2010-03-26,6.0,1383
495,Dolphin Tale 2,36.0,42.024533,57.824533,WB,en,7.403,2014-09-12,6.7,173
496,Collateral Beauty,36.0,31.016021,85.309093,WB (NL),en,12.857000000000001,2016-12-16,7.2,3270
497,There Be Dragons,36.0,1.069334,4.02099,Gold.,en,7.058,2011-05-06,5.1,93
498,It,35.0,327.481748,697.457969,WB (NL),en,13.966,2017-09-08,7.2,10931
499,True Grit,35.0,171.243005,252.276928,Par.,en,13.118,2010-12-22,7.2,2816
500,Identity Thief,35.0,134.50692,175.361578,Uni.,en,13.552999999999999,2013-02-09,5.8,2230
501,Horrible Bosses,35.0,117.538559,212.417601,WB (NL),en,14.058,2011-07-08,6.5,3842
502,Trainwreck,35.0,110.2127,141.123897,Uni.,en,18.423,2015-07-17,5.8,1731
503,Saving Mr. Banks,35.0,83.299761,114.962525,BV,en,9.585,2013-12-20,7.4,2050
504,Secretariat,35.0,59.699513,60.376247,BV,en,9.059,2010-10-08,7.0,200
505,Friends with Benefits,35.0,55.802754,146.595891,SGem,en,14.019,2011-07-21,6.6,4637
506,Neighbors 2: Sorority Rising,35.0,55.34073,108.757621,Uni.,en,17.662,2016-05-20,5.7,2829
507,Sicario: Day of the Soldado,35.0,50.06585,75.885196,Sony,en,29.725,2018-06-29,6.7,1317
508,Goosebumps 2: Haunted Halloween,35.0,46.697321,93.291478,Sony,en,20.238,2018-10-12,5.6,428
509,12 Strong,35.0,45.819713,71.118378,WB,en,13.183,2018-01-19,5.6,1312
510,Something Borrowed,35.0,39.046489,65.084116,WB,en,7.567,2011-05-05,6.1,591
511,In Time,35.0,37.553932,165.103952,Fox,en,18.912,2011-10-28,6.8,6245
512,J. Edgar,35.0,37.30603,84.60603,WB,en,8.628,2011-11-09,6.2,1303
513,Mile 22,35.0,36.108758,66.295121,STX,en,21.246,2018-08-17,6.0,920
514,Hot Pursuit,35.0,34.580201,45.671512,WB (NL),en,9.607000000000001,2015-05-08,5.6,1000
515,The Foreigner,35.0,34.393507,140.78336,STX,en,14.616,2017-10-13,6.7,1086
516,Adrift,35.0,31.445011,57.897191,STX,en,0.6,2013-07-01,7.0,1
517,Adrift,35.0,31.445011,57.897191,STX,en,16.785999999999998,2018-06-01,6.7,1264
518,Underworld: Blood Wars,35.0,30.353973,81.209222,SGem,en,18.976,2017-01-06,5.5,2318
519,Abduction,35.0,28.087155,86.648359,LGF,en,17.69,2011-09-23,5.8,1791
520,Alex Cross,35.0,25.888412,35.426759,LG/S,en,9.962,2012-10-18,5.1,424
521,Whiskey Tango Foxtrot,35.0,23.083334,25.350747,Par.,en,8.564,2016-03-04,6.2,596
522,Hitman: Agent 47,35.0,22.46745,82.182803,Fox,en,14.082,2015-08-21,5.6,1764
523,Premium Rush,35.0,20.275446,31.393201,Sony,en,12.484000000000002,2012-08-24,6.2,1244
524,Broken City,35.0,19.701164,34.480045,Fox,en,13.645999999999999,2013-01-18,5.9,814
525,Furry Vengeance,35.0,17.630465,39.340177,Sum.,en,9.45,2010-04-02,4.6,283
526,Parker,35.0,17.616641,48.543388,FD,en,14.95,2013-01-25,5.8,1868
527,The Tree of Life,35.0,13.305665,61.721826,FoxS,en,11.569,2011-05-27,6.6,1730
528,Unfinished Business,35.0,10.219501,13.214051,Fox,en,8.516,2015-03-06,5.2,472
529,The Walk,35.0,10.161183,61.492104,TriS,en,11.754000000000001,2015-10-02,6.9,1906
530,Mandela: Long Walk to Freedom,35.0,8.323085,29.890402,Wein.,en,8.262,2013-12-25,6.9,319
531,The Snowman,35.0,6.670765,43.226146,Uni.,en,14.581,2017-10-20,5.1,1225
532,Biutiful,35.0,5.101237,24.687524,RAtt.,es,7.697,2010-12-28,7.2,546
533,A Hologram for the King,35.0,4.212494,11.84601,RAtt.,en,11.055,2016-04-22,5.9,589
534,Playing for Keeps,35.0,2.0,2.0,FD,en,7.778,2012-12-07,5.6,420
535,The Darkest Hour,34.8,21.443494,62.831715,Sum.,en,10.73,2011-12-25,4.9,735
536,Baby Driver,34.0,107.825862,228.104185,TriS,en,22.895,2017-06-28,7.4,8034
537,The Maze Runner,34.0,102.427862,348.319861,Fox,en,36.955,2014-09-19,7.1,10626
538,The Longest Ride,34.0,37.446117,63.802928,Fox,en,11.168,2015-04-10,7.5,1908
539,The Darkest Minds,34.0,12.695691,38.361428,Fox,en,23.967,2018-08-03,6.8,1158
540,Mike and Dave Need Wedding Dates,33.0,46.009673,75.8981,Fox,en,11.675999999999998,2016-07-08,6.0,1552
541,Step Up Revolution,33.0,35.074677,165.55229,LG/S,en,10.925,2012-07-27,6.8,1252
542,Bridesmaids,32.5,169.211718,289.632023,Uni.,en,9.805,2011-05-13,6.5,2783
543,The Big Wedding,32.5,21.819348,48.425971,LGF,en,11.231,2013-04-25,5.8,678
544,Wanderlust,32.5,17.288155,24.159934,Uni.,en,9.896,2012-02-24,5.4,693
545,Takers,32.0,57.74472,70.587268,SGem,en,8.969,2010-08-26,6.2,605
546,Source Code,32.0,54.712227,140.428499,Sum.,en,13.495,2011-04-01,7.2,4529
547,I Feel Pretty,32.0,48.795601,91.553797,STX,en,16.298,2018-04-20,6.4,1088
548,"Big Mommas: Like Father, Like Son",32.0,37.915414,82.33245,Fox,en,16.024,2011-02-18,5.5,623
549,The Incredible Burt Wonderstone,32.0,22.537881,27.392609,WB (NL),en,9.362,2013-03-15,5.4,920
550,Going the Distance,32.0,17.804299,43.60399,WB (NL),en,8.281,2010-09-03,6.0,394
551,Repo Men,32.0,13.942007,18.195238,Uni.,en,12.437000000000001,2010-03-19,6.2,976
552,Flight,31.0,93.772375,160.558438,Par.,en,11.692,2012-11-02,6.7,3582
553,The Grand Budapest Hotel,31.0,59.076019,163.981261,FoxS,en,18.31,2014-03-07,8.0,8091
554,Vacation,31.0,58.884188,102.3065,WB (NL),en,14.227,2015-07-29,6.2,1934
555,Extraordinary Measures,31.0,12.482741,15.826984,CBS,en,6.3,2010-01-21,6.3,153
556,Crazy Rich Asians,30.0,174.532921,238.099711,WB,en,17.969,2018-08-15,7.1,1496
557,The Vow,30.0,125.01403,197.61816,SGem,en,13.046,2012-02-10,7.1,2409
558,Sisters,30.0,87.044645,106.03066,Uni.,en,10.993,2015-12-18,5.9,922
559,Looper,30.0,66.486205,170.466405,TriS,en,16.779,2012-09-28,6.8,6723
560,Warm Bodies,30.0,66.380662,115.121608,LG/S,en,13.259,2013-02-01,6.3,4109
561,The Nut Job,30.0,64.251538,122.529966,ORF,en,10.501,2014-01-17,5.6,529
562,Hope Springs,30.0,63.536011,133.085295,Sony,en,8.312999999999999,2012-08-07,6.1,429
563,Midnight in Paris,30.0,56.816662,162.502774,SPC,en,13.171,2011-05-20,7.5,3965
564,Darkest Hour,30.0,56.44312,150.807172,Focus,en,15.331,2017-11-22,7.3,2715
565,Life of the Party,30.0,53.059911,65.759911,WB (NL),en,13.696,2018-05-11,6.2,435
566,Letters to Juliet,30.0,53.032453,82.148538,Sum.,en,9.394,2010-05-14,6.9,1706
567,Southpaw,30.0,52.421953,94.156456,Wein.,en,25.305,2015-07-24,7.4,3424
568,Atomic Blonde,30.0,51.573925,98.345423,Focus,en,21.662,2017-07-28,6.3,3645
569,Sicario,30.0,46.889293,84.393749,LGF,en,20.468,2015-09-18,7.3,4475
570,Den of Thieves,30.0,44.947622,80.131391,STX,en,22.738000000000003,2018-01-19,6.6,1244
571,The Three Stooges,30.0,44.338224,54.052249,Fox,en,9.357999999999999,2012-04-13,5.1,215
572,John Wick,30.0,43.037835,76.235001,LG/S,en,78.123,2014-10-24,7.2,10081
573,The Age of Adaline,30.0,42.629776,68.984536,LGF,en,8.559,2015-04-24,7.4,3853
574,The Cabin in the Woods,30.0,42.073277,70.689968,LGF,en,15.335999999999999,2012-04-12,6.5,4185
575,Hanna,30.0,40.259119,65.343694,Focus,en,9.709,2011-04-08,6.6,1944
576,The 15:17 to Paris,30.0,36.276286,56.0962,WB,en,11.575999999999999,2018-02-09,5.3,799
577,Larry Crowne,30.0,35.608245,61.449135,Uni.,en,7.261,2011-06-30,5.8,676
578,Entourage,30.0,32.363404,46.438538,WB,en,13.802,2015-06-03,6.2,647
579,The Five-Year Engagement,30.0,28.700285,61.623819,Uni.,en,10.729000000000001,2012-04-27,5.8,742
580,Winnie the Pooh,30.0,26.692846,50.145607,BV,en,11.147,2011-07-14,6.9,444
581,White Boy Rick,30.0,24.004833,25.947983,Studio 8,en,13.794,2018-09-14,6.3,277
582,Sanctum,30.0,23.20931,108.957098,Uni.,en,7.457000000000001,2011-02-04,5.9,515
583,The Next Three Days,30.0,21.148651,67.255916,LGF,en,11.147,2010-11-19,7.0,1469
584,Proud Mary,30.0,20.868638,21.709539,SGem,en,9.371,2018-01-12,5.5,259
585,Runner Runner,30.0,19.316646,60.51268,Fox,en,10.442,2013-10-02,5.6,761
586,Baahubali 2: The Conclusion,30.0,18.985794,263.502914,GrtIndia,te,10.405999999999999,2017-04-27,7.0,252
587,mother!,30.0,17.800004,42.531076,Par.,en,15.227,2017-09-15,7.0,3458
588,Steve Jobs,30.0,17.766658,35.579007,Uni.,en,8.895,2015-10-09,6.8,2572
589,The Last Stand,30.0,12.050299,48.330757,LGF,en,15.894,2013-01-12,5.9,1692
590,Dead Man Down,30.0,10.895295,19.599974,FD,en,10.349,2013-03-08,6.0,866
591,The Lost City of Z,30.0,8.574339,17.121823,BST,en,11.048,2017-04-21,6.2,1397
592,The Space Between Us,30.0,7.885294,16.481405,STX,en,14.437000000000001,2017-02-03,7.1,1455
593,Kin,30.0,5.718096,10.096821,LGF,en,23.805,2018-08-31,6.2,289
594,Stronger,30.0,4.211129,8.786752,RAtt.,en,7.836,2017-09-22,7.0,782
595,Machine Gun Preacher,30.0,0.53869,3.721988,Rela.,en,9.12,2011-09-23,6.5,477
596,Bilal: A New Breed of Hero,30.0,0.490973,0.648599,VE,en,2.707,2018-02-02,6.8,54
597,Collide,29.2,2.280004,5.466698,ORF,en,9.035,2017-02-24,5.6,331
598,Pitch Perfect 2,29.0,184.29623,287.625468,Uni.,en,18.469,2015-05-15,6.8,3599
599,The Boss,29.0,63.07756,78.652207,Uni.,en,11.442,2016-04-08,5.8,822
600,Logan Lucky,29.0,27.778642,44.264271,BST,en,15.743,2017-08-18,6.7,1627
601,Florence Foster Jenkins,29.0,27.38377,56.000339,Par.,en,8.453,2016-08-12,6.7,849
602,Straight Outta Compton,28.0,161.197785,202.182981,Uni.,en,11.731,2015-08-14,7.7,2048
603,Girls Trip,28.0,115.108515,140.886353,Uni.,en,8.589,2017-07-21,6.8,968
604,A Bad Moms Christmas,28.0,72.110659,127.71055,STX,en,16.604,2017-11-01,6.3,1044
605,Safe Haven,28.0,71.39912,94.050951,Rela.,en,9.095,2013-02-14,7.1,1433
606,The Big Short,28.0,70.25987,133.162752,Par.,en,14.327,2015-12-11,7.3,4657
607,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28.0,66.954149,101.379287,BV,en,6.7829999999999995,2014-10-10,6.2,817
608,Last Vegas,28.0,63.914167,112.914167,CBS,en,6.5329999999999995,2013-11-01,6.4,1211
609,Tag,28.0,54.730625,77.026186,WB (NL),en,1.4,2015-05-04,4.0,1
610,Tag,28.0,54.730625,77.026186,WB (NL),en,18.5,2018-06-15,6.8,1297
611,Kick-Ass,28.0,48.071303,97.531134,LGF,en,13.08,2010-04-16,7.1,7540
612,30 Minutes or Less,28.0,37.053924,40.966716,Sony,en,11.315,2011-08-12,5.6,825
613,3 Days to Kill,28.0,30.697999,38.9599,Rela.,en,11.011,2014-02-14,6.1,1279
614,Kick-Ass 2,28.0,28.795985,63.129909,Uni.,en,14.793,2013-08-16,6.4,3785
615,A Walk Among the Tombstones,28.0,26.017685,62.108587,Uni.,en,19.373,2014-09-19,6.3,1685
616,The Spy Next Door,28.0,24.307106,46.752858,LGF,en,10.745999999999999,2010-01-15,5.7,650
617,Brick Mansions,28.0,20.396829,73.421224,Rela.,en,9.193999999999999,2014-04-25,5.9,909
618,American Ultra,28.0,14.439985,30.295028,LGF,en,9.97,2015-08-21,6.0,1756
619,Pride and Prejudice and Zombies,28.0,10.907291,16.6383,SGem,en,9.086,2016-02-05,5.7,1195
620,Joyful Noise,27.5,30.932113,31.157914,WB,en,6.787000000000001,2012-01-13,6.4,70
621,Anonymous,27.5,4.463292,15.815509,Sony,en,8.113999999999999,2011-10-28,6.4,434
622,Limitless,27.0,79.249455,155.564919,Rela.,en,19.453,2011-03-08,7.1,6295
623,Money Monster,27.0,41.012075,93.466095,TriS,en,11.134,2016-05-13,6.4,1859
624,Spy Kids: All the Time in the World,27.0,38.536376,80.681183,W/Dim.,en,10.009,2011-08-19,4.6,487
625,Lawless,26.0,37.397291,54.393687,Wein.,en,12.147,2012-08-29,7.0,1660
626,The Best of Me,26.0,26.766213,41.059418,Rela.,en,8.622,2014-10-17,7.3,1512
627,The Raven,26.0,16.008272,30.601801,Rela.,en,0.6,2010-04-20,5.9,5
628,The Raven,26.0,16.008272,30.601801,Rela.,en,8.635,2012-04-27,6.3,681
629,The Fifth Estate,26.0,3.254172,6.154172,BV,en,6.611000000000001,2013-10-18,5.9,549
630,Blood Ties,26.0,0.042472,2.923959,ALP,en,12.003,2014-03-21,6.1,268
631,The Help,25.0,169.705587,213.120004,BV,en,12.597999999999999,2011-08-10,8.1,3944
632,Hidden Figures,25.0,169.607287,231.771716,Fox,en,14.751,2016-12-10,8.0,4710
633,Ride Along,25.0,134.202565,153.7338,Uni.,en,10.831,2014-01-17,6.2,1277
634,Dear John,25.0,80.014842,142.033509,SGem,en,12.048,2010-02-04,6.8,2676
635,Parental Guidance,25.0,77.267296,120.832383,Fox,en,10.124,2012-12-25,5.8,276
636,No Strings Attached,25.0,70.66222,149.228078,Par.,en,14.203,2011-01-21,6.2,2612
637,Contraband,25.0,66.528,98.406855,Uni.,en,12.357000000000001,2012-01-13,6.2,1114
638,The Lucky One,25.0,60.457138,96.633833,WB,en,13.14,2012-04-20,6.9,2012
639,The Grey,25.0,51.580136,81.249176,ORF,en,12.942,2012-01-27,6.5,2280
640,The Giver,25.0,45.090374,66.540205,Wein.,en,8.687000000000001,2014-08-11,6.5,3075
641,The Night Before,25.0,43.035725,52.427346,Sony,en,9.014,2015-11-20,6.1,956
642,August: Osage County,25.0,37.73881,50.73881,Wein.,en,9.586,2013-12-27,6.9,843
643,Million Dollar Arm,25.0,36.447959,39.217912,BV,en,7.771,2014-05-16,6.8,353
644,Peppermint,25.0,35.418723,51.800758,STX,en,32.476,2018-09-07,6.5,716
645,The Gambler,25.0,33.680992,38.718031,Par.,en,8.807,2014-12-25,5.8,783
647,Fist Fight,25.0,32.187017,40.286416,WB (NL),en,9.808,2017-02-17,6.0,708
648,The Sitter,25.0,30.542576,38.749404,Fox,en,11.571,2011-12-09,5.4,472
649,Draft Day,25.0,28.842237,29.84748,LG/S,en,10.581,2014-04-11,6.6,460
650,Rings,25.0,27.793018,82.917283,Par.,en,13.53,2017-02-03,4.9,1785
651,Don't Be Afraid of the Dark,25.0,24.046682,39.126427,FD,en,8.405,2010-11-06,5.5,550
652,The Losers,25.0,23.591432,29.86384,WB,en,10.202,2010-04-23,6.2,844
653,The Eagle,25.0,19.490041,38.993548,Focus,en,8.443,2011-02-11,6.1,694
654,Shark Night 3D,25.0,18.877153,18.877153,Rela.,en,7.879,2011-09-02,5.0,245
655,Father Figures,25.0,17.501244,21.038441,WB,en,12.45,2017-12-22,5.8,277
656,The Counselor,25.0,16.973715,71.009334,Fox,en,10.55,2013-10-25,5.1,1072
657,Mary Queen of Scots,25.0,16.468499,46.734733,Focus,en,16.115,2018-12-07,6.6,592
658,Legend,25.0,15.502112,23.506237,Uni.,en,10.542,1986-04-18,6.2,509
659,Legend,25.0,15.502112,23.506237,Uni.,en,10.195,2015-11-20,6.8,1692
662,My Soul to Take,25.0,14.744435,16.72747,Uni.,en,9.808,2010-10-08,5.4,247
663,Warrior,25.0,13.657115,24.215385,LGF,en,15.478,2011-09-09,7.8,2189
664,Battle of the Sexes,25.0,12.638526,18.445379,FoxS,en,11.988,2017-09-22,6.9,1045
665,The 33,25.0,12.227722,28.400715,WB,en,9.993,2015-11-09,6.2,565
666,The Conspirator,25.0,11.538204,15.907411,RAtt.,en,6.492999999999999,2011-04-15,6.5,226
667,Beautiful Boy,25.0,7.634767,13.031424,Anch.,en,5.872000000000001,2011-06-03,6.0,47
668,Beautiful Boy,25.0,7.634767,13.031424,Anch.,en,17.409000000000002,2018-10-12,7.6,500
669,Tulip Fever,25.0,2.455635,6.792768,Wein.,en,9.89,2017-08-25,6.4,307
670,Jane Got a Gun,25.0,1.513793,3.771345,Wein.,en,8.825,2016-01-29,5.5,439
671,On the Road,25.0,0.720828,9.313302,IFC,en,8.919,2012-12-21,5.6,518
672,Think Like a Man Too,24.0,65.028687,70.027933,SGem,en,8.25,2014-06-20,6.3,319
