,movie,production_budget,domestic_gross,worldwide_gross,studio,original_language,popularity,release_date,vote_average,vote_count
171,Real Steel,110.0,85.463309,263.880341,BV,en,14.811,2011-10-06,6.8,4566
172,The A-Team,110.0,77.222099,177.241171,Fox,en,17.097,2010-06-11,6.3,2703
173,The Smurfs 2,110.0,71.017784,348.547523,Sony,en,12.940999999999999,2013-07-31,5.7,1200
174,Ender's Game,110.0,61.737191,127.983283,LG/S,en,15.533,2013-11-01,6.6,3558
175,The Martian,108.0,228.433663,655.271443,Fox,en,22.855999999999998,2015-10-02,7.7,12172
176,Allied,106.0,40.098064,119.266661,Par.,en,19.611,2016-11-23,6.7,2765
177,Ice Age: Collision Course,105.0,64.063008,402.156682,Fox,en,18.233,2016-07-22,5.9,2430
178,Kingsman: The Golden Circle,104.0,100.234838,408.803696,Fox,en,24.337,2017-09-22,7.0,5531
179,A Wrinkle in Time,103.0,100.478608,133.401882,BV,en,12.529000000000002,2018-03-09,5.0,1073
180,Bumblebee,102.0,127.195589,465.195589,Par.,en,43.078,2018-12-21,6.5,2425
181,Cloud Atlas,102.0,27.108272,130.673154,WB,en,14.681,2012-10-26,6.8,4505
182,Django Unchained,100.0,162.805434,449.948323,Wein.,en,21.26,2012-12-25,8.0,15725
183,Little Fockers,100.0,148.4386,310.650574,Uni.,en,12.152999999999999,2010-12-21,5.6,1883
184,The Other Guys,100.0,119.219978,170.93647,Sony,en,13.508,2010-08-06,6.2,2187
185,The Wolf of Wall Street,100.0,116.900694,389.870414,Par.,en,29.518,2013-12-25,7.9,12411
186,Epic,100.0,107.518682,262.794441,Fox,en,13.995,2013-05-24,6.4,1670
187,The Expendables 2,100.0,85.028192,311.979256,LGF,en,17.215999999999998,2012-08-17,6.2,4219
188,The Tourist,100.0,67.631157,278.731369,Sony,en,10.307,2010-12-10,6.1,3133
189,Legend of the Guardians: The Owls of Ga'Hoole,100.0,55.675313,139.716717,WB,en,10.754000000000001,2010-09-24,6.6,1223
190,The Expendables 3,100.0,39.322544,209.461378,LGF,en,18.797,2014-08-15,6.1,2876
191,Green Zone,100.0,35.497337,97.52302,Uni.,en,11.519,2010-03-11,6.4,1176
192,Geostorm,100.0,33.70016,220.796009,WB,en,13.652999999999999,2017-10-20,5.8,2246
193,In the Heart of the Sea,100.0,25.020758,89.693309,WB,en,14.33,2015-12-11,6.6,2137
194,Transcendence,100.0,23.022309,103.039258,WB,en,0.6,2012-06-09,5.5,2
195,Transcendence,100.0,23.022309,103.039258,WB,en,11.035,2014-04-17,6.0,3491
196,Mortal Engines,100.0,15.95104,85.287417,Uni.,en,40.095,2018-12-14,6.0,1751
197,The Peanuts Movie,99.0,130.178411,250.09161,Fox,en,11.344000000000001,2015-11-01,6.6,894
198,Alien: Covenant,97.0,74.262031,238.521247,Fox,en,24.651,2017-05-19,5.9,4971
